Row Labels,Day,NSEI,TWII,Ind
2017-08,2,10137.84961,10519.26953,1
2017-08,3,10081.15039,10478.62012,1
2017-08,4,10075.25,10510.7002,1
2017-08,7,10088.09961,10592.30957,1
2017-08,8,10083.79981,10619.41992,1
2017-08,9,9969.799805,10536.19043,1
2017-08,10,9892.650391,10477.79004,1
2017-08,11,9771.650391,10338.05957,1
2017-08,14,9818.299805,10365.21973,1
2017-08,16,9903.950195,10322.37988,1
2017-08,17,9947.799805,10372.41016,1
2017-08,18,9865.950195,10330.38965,1
2017-08,21,9884.349609,10336.37012,1
2017-08,22,9828.450195,10410.46973,1
2017-08,23,9857.900391,10458.91016,1
2017-08,24,9881.5,10488.95996,1
2017-08,28,9925.75,10542.37012,1
2017-08,29,9887.349609,10518.69043,1
2017-08,30,9909.450195,10574.53027,1
2017-08,31,9925.099609,10609.48047,1
2017-09,1,9983.450195,10619.51953,1
2017-09,4,9988.400391,10610.04004,1
2017-09,5,9963.099609,10617.83984,1
2017-09,6,9931.549805,10604.91992,1
2017-09,7,9964.849609,10604.01953,1
2017-09,8,9963.599609,10609.9502,1
2017-09,11,10028.65039,10656.25,1
2017-09,12,10097.54981,10646.54981,1
2017-09,13,10131.9502,10620.30957,1
2017-09,14,10126.5,10572.70996,1
2017-09,15,10115.15039,10580.78027,1
2017-09,18,10171.7002,10642.40039,1
2017-09,19,10178.9502,10664.17969,1
2017-09,20,10171.04981,10589.19043,1
2017-09,21,10158.90039,10603.08008,1
2017-09,22,10095.04981,10579.01953,1
2017-09,25,9960.5,10447.08984,1
2017-09,26,9891.349609,10374.54004,1
2017-09,27,9921.049805,10357.23047,1
2017-09,28,9789.200195,10365.58984,1
2017-09,29,9854,10338.9502,1
2017-10,3,9895.400391,10495.33984,1
2017-10,5,9945.950195,10530.92969,1
2017-10,6,9989.349609,10557.66992,1
2017-10,11,10067.25,10668.49023,1
2017-10,12,10104.4502,10711.44043,1
2017-10,13,10191.90039,10724.08984,1
2017-10,16,10242.9502,10774.20996,1
2017-10,17,10251.84961,10798.51953,1
2017-10,18,10236.4502,10790.30957,1
2017-10,19,10211.9502,10798.54004,1
2017-10,23,10224.15039,10792.26953,1
2017-10,24,10237.75,10766.63965,1
2017-10,25,10340.54981,10794.54981,1
2017-10,26,10355.65039,10756.50977,1
2017-10,27,10366.15039,10803.59961,1
2017-10,30,10384.5,10842.25,1
2017-10,31,10367.7002,10829.33008,1
2017-11,1,10451.65039,10843.41016,1
2017-11,2,10453,10827.66992,1
2017-11,3,10461.7002,10835.7002,1
2017-11,6,10490.4502,10858.5,1
2017-11,7,10485.75,10842.61035,1
2017-11,8,10384.25,10844.74023,1
2017-11,9,10368.4502,10831.37988,1
2017-11,10,10344.9502,10742.61035,1
2017-11,13,10334.15039,10749.38965,1
2017-11,14,10248,10735.08008,1
2017-11,15,10175.4502,10669.58984,1
2017-11,16,10232.25,10666.66016,1
2017-11,17,10343.59961,10729.4502,1
2017-11,20,10309.84961,10728.38965,1
2017-11,21,10358.7002,10787.58008,1
2017-11,22,10368.7002,10882.65039,1
2017-11,23,10374.29981,10872.29004,1
2017-11,24,10404.5,10873.91016,1
2017-11,27,10407.15039,10856,1
2017-11,28,10409.54981,10752.58008,1
2017-11,29,10392.9502,10762.91016,1
2017-11,30,10332.7002,10650.17969,1
2017-12,1,10272.7002,10665.91992,1
2017-12,4,10179.2002,10665.42969,1
2017-12,5,10147.9502,10635.70996,1
2017-12,6,10104.2002,10541.03027,1
2017-12,7,10182.65039,10418.96973,1
2017-12,8,10270.84961,10419.28027,1
2017-12,11,10329.2002,10504.66992,1
2017-12,12,10326.09961,10495.24023,1
2017-12,13,10296.54981,10489.16992,1
2017-12,14,10276.09961,10577.53027,1
2017-12,15,10373.09961,10520.66016,1
2017-12,18,10443.54981,10526.41016,1
2017-12,19,10472.2002,10544,1
2017-12,20,10494.4502,10514.30957,1
2017-12,21,10473.9502,10545.78027,1
2017-12,22,10501.09961,10537.26953,1
2017-12,26,10545.4502,10528.91992,1
2017-12,27,10552.40039,10497.76953,1
2017-12,28,10534.54981,10592.04004,1
2017-12,29,10538.7002,10659.98047,1
2018-01,2,10495.2002,10710.73047,1
2018-01,3,10503.59961,10813.16016,1
2018-01,4,10513,10853.45996,1
2018-01,5,10566.09961,10879.79981,1
2018-01,8,10631.2002,10918.46973,1
2018-01,9,10659.15039,10931,1
2018-01,10,10655.5,10934.75,1
2018-01,11,10664.59961,10844.08008,1
2018-01,12,10690.40039,10899.98047,1
2018-01,15,10782.65039,10962.54981,1
2018-01,16,10762.34961,10986.11035,1
2018-01,17,10803,11030.21973,1
2018-01,18,10887.5,11122.82031,1
2018-01,19,10906.84961,11150.84961,1
2018-01,22,10975.09961,11231.45996,1
2018-01,23,11092.90039,11270.17969,1
2018-01,24,11110.09961,11228.70996,1
2018-01,25,11095.59961,11268.61035,1
2018-01,29,11171.54981,11246.17969,1
2018-01,30,11121.09961,11189.57031,1
2018-01,31,11058.5,11158.29004,1
2018-02,1,11117.34961,11212.09961,1
2018-02,2,10954.9502,11153.32031,1
2018-02,5,10702.75,10970.29981,1
2018-02,6,10594.15039,10761.00977,1
2018-02,7,10614,10697.82031,1
2018-02,8,10637.79981,10609.5,1
2018-02,9,10480.2002,10392.30957,1
2018-02,12,10555.5,10473.50977,1
2018-02,21,10426.09961,10720.48047,1
2018-02,22,10397.54981,10698.46973,1
2018-02,23,10499.09961,10799.29004,1
2018-02,26,10592.9502,10890.69043,1
2018-02,27,10631.65039,10937.90039,1
2018-03,1,10525.5,10805.54981,1
2018-03,5,10428.7002,10756.37012,1
2018-03,6,10441.34961,10784.33984,1
2018-03,7,10243.34961,10818.04981,1
2018-03,8,10270.34961,10852.33008,1
2018-03,9,10296.7002,10882.75977,1
2018-03,12,10433.65039,11016.55957,1
2018-03,13,10478.59961,11095.62988,1
