date,open,high,low,close,adjusted close,volume
18/7/1966,498.019989,498.019989,498.019989,498.019989,498.019989,0
19/7/1966,494.429993,494.429993,494.429993,494.429993,494.429993,0
20/7/1966,489.98999,489.98999,489.98999,489.98999,489.98999,0
21/7/1966,489.880005,489.880005,489.880005,489.880005,489.880005,0
22/7/1966,489.459991,489.459991,489.459991,489.459991,489.459991,0
25/7/1966,480.26001,480.26001,480.26001,480.26001,480.26001,0
26/7/1966,479.100006,479.100006,479.100006,479.100006,479.100006,0
27/7/1966,481.529999,481.529999,481.529999,481.529999,481.529999,0
28/7/1966,479.730011,479.730011,479.730011,479.730011,479.730011,0
29/7/1966,478.880005,478.880005,478.880005,478.880005,478.880005,0
1/8/1966,471.589996,471.589996,471.589996,471.589996,471.589996,0
2/8/1966,471.480011,471.480011,471.480011,471.480011,471.480011,0
3/8/1966,476.140015,476.140015,476.140015,476.140015,476.140015,0
4/8/1966,480.470001,480.470001,480.470001,480.470001,480.470001,0
5/8/1966,481.100006,481.100006,481.100006,481.100006,481.100006,0
8/8/1966,479.839996,479.839996,479.839996,479.839996,479.839996,0
9/8/1966,478.779999,478.779999,478.779999,478.779999,478.779999,0
10/8/1966,476.660004,476.660004,476.660004,476.660004,476.660004,0
11/8/1966,476.23999,476.23999,476.23999,476.23999,476.23999,0
12/8/1966,477.399994,477.399994,477.399994,477.399994,477.399994,0
15/8/1966,475.079987,475.079987,475.079987,475.079987,475.079987,0
16/8/1966,468.940002,468.940002,468.940002,468.940002,468.940002,0
17/8/1966,466.200012,466.200012,466.200012,466.200012,466.200012,0
18/8/1966,460.269989,460.269989,460.269989,460.269989,460.269989,0
19/8/1966,456.890015,456.890015,456.890015,456.890015,456.890015,0
22/8/1966,448.75,448.75,448.75,448.75,448.75,0
23/8/1966,448.220001,448.220001,448.220001,448.220001,448.220001,0
24/8/1966,453.51001,453.51001,453.51001,453.51001,453.51001,0
25/8/1966,447.799988,447.799988,447.799988,447.799988,447.799988,0
26/8/1966,437.859985,437.859985,437.859985,437.859985,437.859985,0
29/8/1966,426.329987,426.329987,426.329987,426.329987,426.329987,0
30/8/1966,433.420013,433.420013,433.420013,433.420013,433.420013,0
31/8/1966,440.399994,440.399994,440.399994,440.399994,440.399994,0
1/9/1966,443.459991,443.459991,443.459991,443.459991,443.459991,0
2/9/1966,442.089996,442.089996,442.089996,442.089996,442.089996,0
6/9/1966,439.660004,439.660004,439.660004,439.660004,439.660004,0
7/9/1966,435.73999,435.73999,435.73999,435.73999,435.73999,0
8/9/1966,434.26001,434.26001,434.26001,434.26001,434.26001,0
9/9/1966,435.640015,435.640015,435.640015,435.640015,435.640015,0
12/9/1966,444.839996,444.839996,444.839996,444.839996,444.839996,0
13/9/1966,447.369995,447.369995,447.369995,447.369995,447.369995,0
14/9/1966,451.5,451.5,451.5,451.5,451.5,0
15/9/1966,456.26001,456.26001,456.26001,456.26001,456.26001,0
16/9/1966,456.149994,456.149994,456.149994,456.149994,456.149994,0
19/9/1966,454.040009,454.040009,454.040009,454.040009,454.040009,0
20/9/1966,450.970001,450.970001,450.970001,450.970001,450.970001,0
21/9/1966,443.359985,443.359985,443.359985,443.359985,443.359985,0
22/9/1966,444.309998,444.309998,444.309998,444.309998,444.309998,0
23/9/1966,443.040009,443.040009,443.040009,443.040009,443.040009,0
26/9/1966,444.100006,444.100006,444.100006,444.100006,444.100006,0
27/9/1966,445.369995,445.369995,445.369995,445.369995,445.369995,0
28/9/1966,440.079987,440.079987,440.079987,440.079987,440.079987,0
29/9/1966,435.320007,435.320007,435.320007,435.320007,435.320007,0
30/9/1966,436.700012,436.700012,436.700012,436.700012,436.700012,0
3/10/1966,427.390015,427.390015,427.390015,427.390015,427.390015,0
4/10/1966,427.920013,427.920013,427.920013,427.920013,427.920013,0
5/10/1966,425.48999,425.48999,425.48999,425.48999,425.48999,0
6/10/1966,421.359985,421.359985,421.359985,421.359985,421.359985,0
7/10/1966,416.290009,416.290009,416.290009,416.290009,416.290009,0
10/10/1966,423.480011,423.480011,423.480011,423.480011,423.480011,0
11/10/1966,425.700012,425.700012,425.700012,425.700012,425.700012,0
12/10/1966,437.220001,437.220001,437.220001,437.220001,437.220001,0
13/10/1966,437.01001,437.01001,437.01001,437.01001,437.01001,0
14/10/1966,435.73999,435.73999,435.73999,435.73999,435.73999,0
17/10/1966,440.609985,440.609985,440.609985,440.609985,440.609985,0
18/10/1966,447.799988,447.799988,447.799988,447.799988,447.799988,0
19/10/1966,444.519989,444.519989,444.519989,444.519989,444.519989,0
20/10/1966,443.25,443.25,443.25,443.25,443.25,0
21/10/1966,444.839996,444.839996,444.839996,444.839996,444.839996,0
24/10/1966,446,446,446,446,446,0
25/10/1966,448.429993,448.429993,448.429993,448.429993,448.429993,0
26/10/1966,452.450012,452.450012,452.450012,452.450012,452.450012,0
27/10/1966,456.26001,456.26001,456.26001,456.26001,456.26001,0
28/10/1966,456.470001,456.470001,456.470001,456.470001,456.470001,0
31/10/1966,456.359985,456.359985,456.359985,456.359985,456.359985,0
1/11/1966,459.850006,459.850006,459.850006,459.850006,459.850006,0
2/11/1966,460.380005,460.380005,460.380005,460.380005,460.380005,0
3/11/1966,458.790009,458.790009,458.790009,458.790009,458.790009,0
4/11/1966,460.269989,460.269989,460.269989,460.269989,460.269989,0
7/11/1966,460.170013,460.170013,460.170013,460.170013,460.170013,0
9/11/1966,463.76001,463.76001,463.76001,463.76001,463.76001,0
10/11/1966,466.829987,466.829987,466.829987,466.829987,466.829987,0
11/11/1966,467.25,467.25,467.25,467.25,467.25,0
14/11/1966,464.399994,464.399994,464.399994,464.399994,464.399994,0
15/11/1966,466.089996,466.089996,466.089996,466.089996,466.089996,0
16/11/1966,470.109985,470.109985,470.109985,470.109985,470.109985,0
17/11/1966,466.940002,466.940002,466.940002,466.940002,466.940002,0
18/11/1966,464.079987,464.079987,464.079987,464.079987,464.079987,0
21/11/1966,457.630005,457.630005,457.630005,457.630005,457.630005,0
22/11/1966,455.519989,455.519989,455.519989,455.519989,455.519989,0
23/11/1966,458.899994,458.899994,458.899994,458.899994,458.899994,0
25/11/1966,462.600006,462.600006,462.600006,462.600006,462.600006,0
28/11/1966,462.179993,462.179993,462.179993,462.179993,462.179993,0
29/11/1966,460.589996,460.589996,460.589996,460.589996,460.589996,0
30/11/1966,460.910004,460.910004,460.910004,460.910004,460.910004,0
1/12/1966,459.109985,459.109985,459.109985,459.109985,459.109985,0
2/12/1966,459.320007,459.320007,459.320007,459.320007,459.320007,0
5/12/1966,459.75,459.75,459.75,459.75,459.75,0
6/12/1966,462.920013,462.920013,462.920013,462.920013,462.920013,0
